state,county,tract,geoid,f_broadband,f_computer,f_ba,f_black,f_hispanic,log_mhi,mhi,population,households,broadband,computer,black,hispanic,mhi.1,ba,den_computers,n_computer,n_broadband,den_black,n_black,den_hispanic,n_hispanic,den_ba,n_ba,nhh_computer,nhh_broadband,nhh_computer_any_internet,nhh_computer_and_dialup,nhh_computer_and_broadband,nhh_computer_no_internet,nhh_no_computer,den_age,n_children,n_children_computer,n_children_computer_and_dialup,n_children_computer_and_broadband,n_children_computer_no_internet,n_children_no_computer,state_lkp
36,1,100,36001000100,0.836,0.8959999999999999,0.13699999999999998,0.74,0.128,10.39,32389.0,2035.0,800.0,83.6,89.6,74.0,12.8,32389.0,13.7,800.0,717.0,669.0,2035.0,1506.0,2035.0,261.0,1283.0,176.0,717,669,717,0,669,48,83,2022,532,520,0,511,9,12,36
36,1,200,36001000200,0.767,0.903,0.225,0.845,0.043,10.23,27714.0,4793.0,2213.0,76.7,90.3,84.5,4.3,27714.0,22.5,2213.0,1999.0,1697.0,4793.0,4050.0,4793.0,206.0,2710.0,609.0,1999,1697,1999,0,1685,314,214,4711,1274,1221,0,1138,83,53,36
36,1,300,36001000300,0.8190000000000001,0.8809999999999999,0.289,0.435,0.121,10.72,45272.0,6147.0,2362.0,81.9,88.1,43.5,12.1,45272.0,28.9,2362.0,2081.0,1935.0,6147.0,2674.0,6147.0,742.0,3725.0,1078.0,2081,1935,2081,11,1917,153,281,5925,1729,1717,0,1630,87,12,36
36,1,401,36001000401,0.8370000000000001,0.857,0.47600000000000003,0.076,0.046,11.22,74274.0,2362.0,997.0,83.7,85.7,7.6,4.6,74274.0,47.6,997.0,854.0,834.0,2362.0,180.0,2362.0,109.0,2169.0,1032.0,854,834,854,0,826,28,143,1790,171,171,0,171,0,0,36
36,1,403,36001000403,0.8170000000000001,0.861,0.591,0.129,0.057999999999999996,11.22,74426.0,4253.0,2186.0,81.7,86.1,12.9,5.8,74426.0,59.1,2186.0,1882.0,1786.0,4253.0,548.0,4253.0,246.0,3220.0,1904.0,1882,1786,1882,0,1733,149,304,4240,462,462,0,462,0,0,36
36,1,404,36001000404,1.0,1.0,0.073,0.225,0.19,,-666666666.0,5082.0,15.0,100.0,100.0,22.5,19.0,-666666666.0,7.3,15.0,15.0,15.0,5082.0,1143.0,5082.0,965.0,55.0,4.0,15,15,15,0,15,0,0,15,0,0,0,0,0,0,36
36,1,501,36001000501,0.718,0.8109999999999999,0.228,0.439,0.226,10.38,32165.0,3523.0,1433.0,71.8,81.1,43.9,22.6,32165.0,22.8,1433.0,1162.0,1029.0,3523.0,1547.0,3523.0,795.0,2192.0,499.0,1162,1029,1162,0,1018,144,271,3440,917,881,0,721,160,36,36
36,1,502,36001000502,0.8059999999999999,0.945,0.621,0.201,0.106,11.01,60263.0,3785.0,942.0,80.6,94.5,20.1,10.6,60263.0,62.1,942.0,890.0,759.0,3785.0,761.0,3785.0,402.0,1171.0,727.0,890,759,890,0,759,131,52,1892,212,212,0,183,29,0,36
36,1,600,36001000600,0.747,0.912,0.183,0.363,0.13699999999999998,10.01,22298.0,3663.0,1408.0,74.7,91.2,36.3,13.7,22298.0,18.3,1408.0,1284.0,1052.0,3663.0,1328.0,3663.0,502.0,1742.0,319.0,1284,1052,1284,20,1052,212,124,3565,865,705,0,659,46,160,36
36,1,700,36001000700,0.7509999999999999,0.8340000000000001,0.16699999999999998,0.807,0.099,10.51,36639.0,3885.0,1485.0,75.1,83.4,80.7,9.9,36639.0,16.7,1485.0,1238.0,1115.0,3885.0,3136.0,3885.0,386.0,2442.0,409.0,1238,1115,1238,18,1087,133,247,3868,1054,984,0,921,63,70,36
36,1,800,36001000800,0.672,0.8420000000000001,0.11199999999999999,0.799,0.21100000000000002,10.16,25872.0,2192.0,842.0,67.2,84.2,79.9,21.1,25872.0,11.2,842.0,709.0,566.0,2192.0,1752.0,2192.0,463.0,1145.0,128.0,709,566,709,0,558,151,133,2123,760,760,0,689,71,0,36
36,1,1100,36001001100,0.534,0.6729999999999999,0.228,0.375,0.09699999999999999,9.89,19766.0,1573.0,893.0,53.4,67.3,37.5,9.7,19766.0,22.8,893.0,601.0,477.0,1573.0,590.0,1573.0,152.0,1307.0,298.0,601,477,601,0,458,143,292,1263,101,101,0,83,18,0,36
36,1,1400,36001001400,0.84,0.9329999999999999,0.609,0.20600000000000002,0.07,10.81,49602.0,3855.0,2816.0,84.0,93.3,20.6,7.0,49602.0,60.9,2816.0,2628.0,2365.0,3855.0,794.0,3855.0,269.0,3035.0,1847.0,2628,2365,2628,16,2365,247,188,3807,123,123,0,123,0,0,36
36,1,1500,36001001500,0.74,0.89,0.539,0.12300000000000001,0.065,10.39,32500.0,4775.0,2254.0,74.0,89.0,12.3,6.5,32500.0,53.9,2254.0,2006.0,1668.0,4775.0,588.0,4775.0,309.0,2151.0,1159.0,2006,1668,2006,0,1657,349,248,4736,634,634,0,354,280,0,36
36,1,1600,36001001600,0.897,0.915,0.599,0.132,0.05,10.83,50417.0,4151.0,1896.0,89.7,91.5,13.2,5.0,50417.0,59.9,1896.0,1735.0,1700.0,4151.0,548.0,4151.0,206.0,2137.0,1279.0,1735,1700,1735,0,1700,35,161,3785,439,368,0,368,0,71,36
36,1,1700,36001001700,0.8140000000000001,0.898,0.539,0.17300000000000001,0.040999999999999995,11.07,63913.0,4318.0,1964.0,81.4,89.8,17.3,4.1,63913.0,53.9,1964.0,1763.0,1599.0,4318.0,747.0,4318.0,179.0,3068.0,1654.0,1763,1599,1763,0,1599,164,201,4182,600,600,0,600,0,0,36
36,1,1801,36001001801,0.825,0.904,0.55,0.081,0.057,11.41,90043.0,7152.0,3494.0,82.5,90.4,8.1,5.7,90043.0,55.0,3494.0,3157.0,2881.0,7152.0,581.0,7152.0,407.0,5679.0,3126.0,3157,2881,3157,20,2860,277,337,7049,994,994,0,979,15,0,36
36,1,1802,36001001802,0.838,0.852,0.408,0.1,0.034,11.16,69918.0,4068.0,1849.0,83.8,85.2,10.0,3.4,69918.0,40.8,1849.0,1575.0,1550.0,4068.0,405.0,4068.0,140.0,3033.0,1238.0,1575,1550,1575,7,1534,34,274,4053,664,664,0,664,0,0,36
36,1,1901,36001001901,0.919,0.951,0.6609999999999999,0.084,0.025,11.32,82713.0,2714.0,1215.0,91.9,95.1,8.4,2.5,82713.0,66.1,1215.0,1156.0,1117.0,2714.0,227.0,2714.0,67.0,1884.0,1245.0,1156,1117,1156,0,1117,39,59,2683,460,460,0,460,0,0,36
36,1,1902,36001001902,0.868,0.904,0.431,0.14,0.04,11.3,81081.0,2293.0,1036.0,86.8,90.4,14.0,4.0,81081.0,43.1,1036.0,937.0,899.0,2293.0,321.0,2293.0,91.0,1681.0,724.0,937,899,937,0,899,38,99,2288,265,265,0,265,0,0,36
36,1,2000,36001002000,0.818,0.907,0.252,0.379,0.195,10.66,42791.0,5966.0,2386.0,81.8,90.7,37.9,19.5,42791.0,25.2,2386.0,2165.0,1952.0,5966.0,2262.0,5966.0,1161.0,3594.0,906.0,2165,1952,2165,17,1895,253,221,5937,1727,1715,0,1588,127,12,36
36,1,2100,36001002100,0.818,0.9079999999999999,0.451,0.168,0.12300000000000001,10.77,47569.0,2986.0,990.0,81.8,90.8,16.8,12.3,47569.0,45.1,990.0,899.0,810.0,2986.0,501.0,2986.0,366.0,1573.0,709.0,899,810,899,0,810,89,91,2122,321,321,0,218,103,0,36
36,1,2200,36001002200,0.875,0.9390000000000001,0.519,0.33799999999999997,0.096,10.58,39313.0,2766.0,1479.0,87.5,93.9,33.8,9.6,39313.0,51.9,1479.0,1389.0,1294.0,2766.0,936.0,2766.0,266.0,1844.0,957.0,1389,1294,1389,0,1294,95,90,2758,503,503,0,503,0,0,36
36,1,2300,36001002300,0.8190000000000001,0.924,0.363,0.5720000000000001,0.046,10.37,31865.0,2010.0,1048.0,81.9,92.4,57.2,4.6,31865.0,36.3,1048.0,968.0,858.0,2010.0,1149.0,2010.0,93.0,1500.0,545.0,968,858,968,0,851,117,80,1956,216,216,0,216,0,0,36
36,1,2500,36001002500,0.631,0.769,0.141,0.746,0.15,10.1,24425.0,2831.0,1413.0,63.1,76.9,74.6,15.0,24425.0,14.1,1413.0,1087.0,892.0,2831.0,2111.0,2831.0,426.0,1682.0,237.0,1087,892,1087,0,883,204,326,2743,805,756,0,683,73,49,36
36,1,2600,36001002600,0.8,0.853,0.184,0.564,0.139,10.56,38494.0,4300.0,1839.0,80.0,85.3,56.4,13.9,38494.0,18.4,1839.0,1569.0,1471.0,4300.0,2426.0,4300.0,596.0,2942.0,542.0,1569,1471,1569,0,1409,160,270,4192,1069,842,0,822,20,227,36
36,1,12700,36001012700,0.728,0.95,0.32,0.21100000000000002,0.047,10.93,55709.0,2742.0,1333.0,72.8,95.0,21.1,4.7,55709.0,32.0,1333.0,1267.0,971.0,2742.0,578.0,2742.0,129.0,1877.0,600.0,1267,971,1267,0,971,296,66,2729,509,488,0,488,0,21,36
36,1,12800,36001012800,0.7829999999999999,0.88,0.17800000000000002,0.235,0.08900000000000001,10.49,36020.0,3749.0,1570.0,78.3,88.0,23.5,8.9,36020.0,17.8,1570.0,1381.0,1229.0,3749.0,880.0,3749.0,334.0,2180.0,388.0,1381,1229,1381,0,1213,168,189,3733,922,907,0,862,45,15,36
36,1,12900,36001012900,0.728,0.826,0.149,0.135,0.077,10.73,45597.0,3485.0,1766.0,72.8,82.6,13.5,7.7,45597.0,14.9,1766.0,1458.0,1285.0,3485.0,472.0,3485.0,267.0,2335.0,348.0,1458,1285,1458,0,1181,277,308,3437,729,709,0,700,9,20,36
36,1,13000,36001013000,0.903,0.9329999999999999,0.326,0.035,0.034,11.12,67208.0,6708.0,2721.0,90.3,93.3,3.5,3.4,67208.0,32.6,2721.0,2540.0,2457.0,6708.0,233.0,6708.0,230.0,5202.0,1694.0,2540,2457,2540,0,2445,95,181,5876,984,965,0,952,13,19,36
36,1,13100,36001013100,0.752,0.85,0.19399999999999998,0.068,0.061,10.92,55104.0,2592.0,1261.0,75.2,85.0,6.8,6.1,55104.0,19.4,1261.0,1072.0,948.0,2592.0,175.0,2592.0,158.0,1846.0,359.0,1072,948,1072,9,909,154,189,2592,397,397,0,373,24,0,36
36,1,13200,36001013200,0.67,0.75,0.135,0.157,0.08,10.34,31052.0,3279.0,1605.0,67.0,75.0,15.7,8.0,31052.0,13.5,1605.0,1203.0,1075.0,3279.0,515.0,3279.0,263.0,2227.0,301.0,1203,1075,1203,0,1042,161,402,3279,637,621,0,453,168,16,36
36,1,13300,36001013300,0.77,0.904,0.27399999999999997,0.17800000000000002,0.085,10.83,50745.0,4204.0,2232.0,77.0,90.4,17.8,8.5,50745.0,27.4,2232.0,2018.0,1718.0,4204.0,749.0,4204.0,357.0,3494.0,958.0,2018,1718,2018,10,1718,290,214,4189,520,520,0,520,0,0,36
36,1,13400,36001013400,0.7859999999999999,0.863,0.204,0.109,0.059000000000000004,10.86,52000.0,2567.0,1084.0,78.6,86.3,10.9,5.9,52000.0,20.4,1084.0,935.0,852.0,2567.0,279.0,2567.0,151.0,1844.0,377.0,935,852,935,0,819,116,149,2567,428,428,0,372,56,0,36
36,1,13503,36001013503,0.895,0.945,0.467,0.069,0.064,11.31,81317.0,4896.0,1897.0,89.5,94.5,6.9,6.4,81317.0,46.7,1897.0,1793.0,1698.0,4896.0,336.0,4896.0,315.0,3322.0,1553.0,1793,1698,1793,0,1698,95,104,4872,1246,1246,0,1238,8,0,36
36,1,13505,36001013505,0.9420000000000001,0.971,0.36200000000000004,0.006,0.009000000000000001,11.34,84353.0,2844.0,971.0,94.2,97.1,0.6,0.9,84353.0,36.2,971.0,943.0,915.0,2844.0,16.0,2844.0,27.0,1984.0,719.0,943,915,943,0,915,28,28,2677,568,568,0,568,0,0,36
36,1,13506,36001013506,0.852,0.892,0.368,0.025,0.073,11.2,73167.0,7190.0,2888.0,85.2,89.2,2.5,7.3,73167.0,36.8,2888.0,2576.0,2461.0,7190.0,177.0,7190.0,526.0,4999.0,1839.0,2576,2461,2576,17,2425,134,312,7111,1378,1348,0,1290,58,30,36
36,1,13507,36001013507,0.9590000000000001,0.965,0.389,0.08900000000000001,0.11,11.36,85972.0,2242.0,903.0,95.9,96.5,8.9,11.0,85972.0,38.9,903.0,871.0,866.0,2242.0,199.0,2242.0,247.0,1577.0,613.0,871,866,871,0,857,14,32,2242,453,453,0,453,0,0,36
36,1,13508,36001013508,0.893,0.97,0.514,0.045,0.037000000000000005,11.45,93848.0,6974.0,2593.0,89.3,97.0,4.5,3.7,93848.0,51.4,2593.0,2515.0,2315.0,6974.0,312.0,6974.0,259.0,4943.0,2542.0,2515,2315,2515,18,2284,213,78,6968,1363,1363,0,1363,0,0,36
36,1,13601,36001013601,0.7879999999999999,0.9079999999999999,0.498,0.094,0.062,11.24,75925.0,9179.0,3397.0,78.8,90.8,9.4,6.2,75925.0,49.8,3397.0,3085.0,2678.0,9179.0,863.0,9179.0,567.0,5422.0,2698.0,3085,2678,3085,11,2678,396,312,6979,1068,1068,0,968,100,0,36
36,1,13602,36001013602,0.8690000000000001,0.917,0.6609999999999999,0.18600000000000003,0.08199999999999999,11.16,70139.0,4395.0,2084.0,86.9,91.7,18.6,8.2,70139.0,66.1,2084.0,1910.0,1812.0,4395.0,816.0,4395.0,361.0,3084.0,2037.0,1910,1812,1910,16,1812,82,174,4353,986,986,0,966,20,0,36
36,1,13703,36001013703,0.9440000000000001,0.9620000000000001,0.314,0.20600000000000002,0.031,11.46,94960.0,2393.0,585.0,94.4,96.2,20.6,3.1,94960.0,31.4,585.0,563.0,552.0,2393.0,492.0,2393.0,75.0,1801.0,565.0,563,552,563,0,552,11,22,1519,277,277,0,277,0,0,36
36,1,13705,36001013705,0.8740000000000001,0.9279999999999999,0.348,0.091,0.032,11.3,80672.0,6442.0,2736.0,87.4,92.8,9.1,3.2,80672.0,34.8,2736.0,2540.0,2391.0,6442.0,584.0,6442.0,207.0,4754.0,1655.0,2540,2391,2540,15,2378,147,196,6442,1100,1100,0,1100,0,0,36
36,1,13706,36001013706,0.865,0.904,0.61,0.021,0.043,11.74,125694.0,2080.0,758.0,86.5,90.4,2.1,4.3,125694.0,61.0,758.0,685.0,656.0,2080.0,43.0,2080.0,90.0,1405.0,857.0,685,656,685,0,656,29,73,2075,484,484,0,474,10,0,36
36,1,13707,36001013707,0.838,0.887,0.48200000000000004,0.059000000000000004,0.026000000000000002,11.32,82806.0,5972.0,2357.0,83.8,88.7,5.9,2.6,82806.0,48.2,2357.0,2090.0,1976.0,5972.0,355.0,5972.0,158.0,4210.0,2031.0,2090,1976,2090,0,1976,114,267,5870,1302,1286,0,1225,61,16,36
36,1,13801,36001013801,0.8320000000000001,0.868,0.315,0.13699999999999998,0.047,11.08,64731.0,7154.0,2871.0,83.2,86.8,13.7,4.7,64731.0,31.5,2871.0,2491.0,2388.0,7154.0,982.0,7154.0,335.0,4853.0,1528.0,2491,2388,2491,0,2383,108,380,7115,1377,1377,0,1377,0,0,36
36,1,13802,36001013802,0.938,0.925,0.377,0.045,0.0,11.63,112429.0,4109.0,1498.0,93.8,92.5,4.5,0.0,112429.0,37.7,1498.0,1386.0,1405.0,4109.0,186.0,4109.0,0.0,2908.0,1096.0,1386,1405,1386,0,1379,7,112,4064,831,831,0,831,0,0,36
36,1,13901,36001013901,0.877,0.917,0.35100000000000003,0.057999999999999996,0.045,11.25,77250.0,2336.0,925.0,87.7,91.7,5.8,4.5,77250.0,35.1,925.0,848.0,811.0,2336.0,135.0,2336.0,106.0,1696.0,595.0,848,811,848,5,801,42,77,2336,295,295,0,295,0,0,36
36,1,13902,36001013902,0.8859999999999999,0.9109999999999999,0.33299999999999996,0.059000000000000004,0.013999999999999999,11.41,90611.0,5401.0,2079.0,88.6,91.1,5.9,1.4,90611.0,33.3,2079.0,1895.0,1841.0,5401.0,317.0,5401.0,78.0,4180.0,1390.0,1895,1841,1895,11,1841,43,184,5392,894,879,0,879,0,15,36
36,1,14001,36001014001,0.888,0.914,0.405,0.09699999999999999,0.055999999999999994,11.17,71125.0,4072.0,1854.0,88.8,91.4,9.7,5.6,71125.0,40.5,1854.0,1694.0,1647.0,4072.0,393.0,4072.0,228.0,3080.0,1246.0,1694,1647,1694,0,1622,72,160,4056,574,574,0,574,0,0,36
36,1,14002,36001014002,0.8270000000000001,0.8420000000000001,0.36,0.10300000000000001,0.067,11.16,69961.0,5170.0,1945.0,82.7,84.2,10.3,6.7,69961.0,36.0,1945.0,1638.0,1608.0,5170.0,533.0,5170.0,348.0,3340.0,1203.0,1638,1608,1638,15,1608,15,307,5170,1290,1275,0,1275,0,15,36
36,1,14100,36001014100,0.84,0.9079999999999999,0.613,0.018000000000000002,0.008,11.37,86473.0,5318.0,2421.0,84.0,90.8,1.8,0.8,86473.0,61.3,2421.0,2199.0,2033.0,5318.0,98.0,5318.0,45.0,3872.0,2374.0,2199,2033,2199,30,2013,156,222,5300,984,984,0,984,0,0,36
36,1,14201,36001014201,0.938,0.9740000000000001,0.604,0.019,0.02,11.43,92120.0,5831.0,2390.0,93.8,97.4,1.9,2.0,92120.0,60.4,2390.0,2327.0,2242.0,5831.0,110.0,5831.0,116.0,4022.0,2429.0,2327,2242,2327,0,2219,108,63,5720,1303,1303,0,1213,90,0,36
36,1,14202,36001014202,0.857,0.895,0.618,0.025,0.027000000000000003,11.37,87025.0,5824.0,2547.0,85.7,89.5,2.5,2.7,87025.0,61.8,2547.0,2280.0,2182.0,5824.0,145.0,5824.0,160.0,4167.0,2575.0,2280,2182,2280,0,2182,98,267,5796,1025,1025,0,1025,0,0,36
36,1,14203,36001014203,0.912,0.9570000000000001,0.763,0.032,0.019,11.72,123493.0,6499.0,2601.0,91.2,95.7,3.2,1.9,123493.0,76.3,2601.0,2490.0,2373.0,6499.0,208.0,6499.0,125.0,4438.0,3387.0,2490,2373,2490,19,2373,98,111,6479,1456,1456,0,1397,59,0,36
36,1,14301,36001014301,0.8640000000000001,0.887,0.305,0.11,0.004,11.19,72440.0,3088.0,1239.0,86.4,88.7,11.0,0.4,72440.0,30.5,1239.0,1099.0,1070.0,3088.0,339.0,3088.0,12.0,2010.0,613.0,1099,1070,1099,16,1060,23,140,2877,481,481,0,466,15,0,36
36,1,14302,36001014302,0.938,0.9740000000000001,0.504,0.006999999999999999,0.052000000000000005,11.65,114604.0,8386.0,3085.0,93.8,97.4,0.7,5.2,114604.0,50.4,3085.0,3005.0,2895.0,8386.0,55.0,8386.0,433.0,5808.0,2929.0,3005,2895,3005,32,2879,94,80,8368,1912,1912,0,1894,18,0,36
36,1,14401,36001014401,0.757,0.863,0.19399999999999998,0.013999999999999999,0.013999999999999999,11.21,73606.0,4119.0,1763.0,75.7,86.3,1.4,1.4,73606.0,19.4,1763.0,1521.0,1334.0,4119.0,56.0,4119.0,56.0,2878.0,558.0,1521,1334,1521,11,1280,230,242,4110,844,834,0,743,91,10,36
36,1,14402,36001014402,0.828,0.865,0.254,0.047,0.006,11.0,60036.0,3210.0,1331.0,82.8,86.5,4.7,0.6,60036.0,25.4,1331.0,1151.0,1102.0,3210.0,152.0,3210.0,18.0,2113.0,537.0,1151,1102,1151,11,1048,92,180,3198,671,659,0,585,74,12,36
36,1,14501,36001014501,0.858,0.9,0.501,0.003,0.018000000000000002,11.59,107813.0,2574.0,1001.0,85.8,90.0,0.3,1.8,107813.0,50.1,1001.0,901.0,859.0,2574.0,7.0,2574.0,46.0,1815.0,910.0,901,859,901,0,853,48,100,2574,426,426,0,400,26,0,36
36,1,14502,36001014502,0.8420000000000001,0.956,0.37,0.006,0.026000000000000002,11.46,94456.0,3329.0,1271.0,84.2,95.6,0.6,2.6,94456.0,37.0,1271.0,1215.0,1070.0,3329.0,21.0,3329.0,87.0,2418.0,895.0,1215,1070,1215,18,1070,127,56,3329,548,539,0,539,0,9,36
36,1,14503,36001014503,0.9259999999999999,0.9590000000000001,0.518,0.017,0.006999999999999999,11.49,97938.0,2801.0,1063.0,92.6,95.9,1.7,0.7,97938.0,51.8,1063.0,1019.0,984.0,2801.0,47.0,2801.0,19.0,1898.0,984.0,1019,984,1019,15,984,20,44,2794,627,627,0,627,0,0,36
36,1,14606,36001014606,0.8370000000000001,0.92,0.506,0.026000000000000002,0.027000000000000003,11.53,101250.0,3627.0,1432.0,83.7,92.0,2.6,2.7,101250.0,50.6,1432.0,1318.0,1199.0,3627.0,93.0,3627.0,98.0,2441.0,1235.0,1318,1199,1318,0,1199,119,114,3618,794,794,0,794,0,0,36
36,1,14607,36001014607,0.897,0.914,0.52,0.062,0.025,11.65,114185.0,8070.0,3024.0,89.7,91.4,6.2,2.5,114185.0,52.0,3024.0,2764.0,2713.0,8070.0,497.0,8070.0,198.0,5611.0,2919.0,2764,2713,2764,0,2713,51,260,8043,1864,1864,0,1864,0,0,36
36,1,14608,36001014608,0.8590000000000001,0.9359999999999999,0.42,0.11800000000000001,0.1,11.07,64250.0,4211.0,1138.0,85.9,93.6,11.8,10.0,64250.0,42.0,1138.0,1065.0,978.0,4211.0,497.0,4211.0,419.0,1912.0,803.0,1065,978,1065,0,978,87,73,2567,370,370,0,370,0,0,36
36,1,14609,36001014609,0.905,0.9490000000000001,0.55,0.075,0.03,11.15,69231.0,4596.0,2474.0,90.5,94.9,7.5,3.0,69231.0,55.0,2474.0,2348.0,2238.0,4596.0,346.0,4596.0,140.0,3377.0,1856.0,2348,2238,2348,0,2220,128,126,4571,664,664,0,573,91,0,36
36,1,14611,36001014611,0.945,0.956,0.534,0.023,0.016,11.53,102000.0,2151.0,906.0,94.5,95.6,2.3,1.6,102000.0,53.4,906.0,866.0,856.0,2151.0,50.0,2151.0,35.0,1593.0,851.0,866,856,866,0,856,10,40,2131,398,398,0,398,0,0,36
36,1,14612,36001014612,0.804,0.878,0.536,0.017,0.037000000000000005,11.19,72596.0,1665.0,683.0,80.4,87.8,1.7,3.7,72596.0,53.6,683.0,600.0,549.0,1665.0,29.0,1665.0,62.0,1148.0,615.0,600,549,600,14,549,37,83,1644,380,380,0,377,3,0,36
36,1,14613,36001014613,0.892,0.92,0.37,0.094,0.023,11.29,79922.0,3046.0,1142.0,89.2,92.0,9.4,2.3,79922.0,37.0,1142.0,1051.0,1019.0,3046.0,287.0,3046.0,69.0,2146.0,794.0,1051,1019,1051,0,1019,32,91,2950,541,541,0,541,0,0,36
