tract,max_dn,max_up,dn10,dn100,dn250,fiber_100u,state
36001000100,711.25,50.72222222,1.875,0.777777778,0.777777778,0.027777778,36
36001000200,940,35,2.529411765,1.011764706,1,0,36
36001000300,928.0405405,98.19594595,2.290540541,1.060810811,1.060810811,0.074324324,36
36001000401,928.9759036,65.1686747,2.156626506,1.024096386,1.024096386,0.036144578,36
36001000403,940,43.2038835,2.310679612,1.009708738,1.009708738,0.009708738,36
36001000404,906.1111111,65.14814815,2,1,1,0.037037037,36
36001000501,940,35,2.44,1,1,0,36
36001000502,940,97.59259259,2.148148148,1.074074074,1.074074074,0.074074074,36
36001000600,940,35,2.666666667,1,1,0,36
36001000700,940,35,2.375,1,1,0,36
36001000800,940,35,2.807692308,1,1,0,36
36001001100,776.5384615,47.22435897,2.403846154,0.955128205,0.846153846,0.025641026,36
36001001400,900.6666667,55.06666667,2.555555556,1.177777778,0.977777778,0.022222222,36
36001001500,940,35,2.206896552,1,1,0,36
36001001600,941.6666667,87.08333333,2.194444444,1.083333333,1.055555556,0.083333333,36
36001001700,940,35,2.068493151,1,1,0,36
36001001801,931.6818182,34.71818182,2.027272727,1.018181818,0.990909091,0,36
36001001802,942.6086957,159.6195652,2.22826087,1.152173913,1.152173913,0.152173913,36
36001001901,940,70.20833333,2.166666667,1.333333333,1.041666667,0.041666667,36
36001001902,940,35,2.029411765,1.705882353,1,0,36
36001002000,940,45.5625,2.1875,1.3625,1.0125,0.0125,36
36001002100,942.4,73.6,2.76,1.88,1.04,0.04,36
36001002200,943.75,95.3125,3.0625,1.9375,1.0625,0.0625,36
36001002300,940,64.13793103,2.75862069,1.172413793,1.034482759,0.034482759,36
36001002500,767.7647059,29.16470588,2.376470588,1.305882353,0.811764706,0,36
36001002600,856.8181818,41.78409091,2.25,0.954545455,0.920454545,0.011363636,36
36001012700,795.2,67.04,2.506666667,1.626666667,0.88,0.04,36
36001012800,892.972973,72.44594595,2.108108108,1.797297297,0.986486486,0.040540541,36
36001012900,868.1451613,90.88709677,2.112903226,1.693548387,0.983870968,0.064516129,36
36001013000,940,86.21212121,2.090909091,1.909090909,1.060606061,0.060606061,36
36001013100,850,31.98198198,2.117117117,1.396396396,0.900900901,0,36
36001013200,894.3814433,50.94845361,2.412371134,1.391752577,0.969072165,0.020618557,36
36001013300,940,106.1578947,2.421052632,1.673684211,1.084210526,0.084210526,36
36001013400,920.5319149,169.1808511,2.361702128,1.595744681,1.138297872,0.159574468,36
36001013503,815.2272727,504.4848485,2.439393939,1.878787879,1.424242424,0.560606061,36
36001013505,940,822.7118644,3.06779661,2.508474576,1.93220339,0.93220339,36
36001013506,932.0535714,615.6696429,2.8125,2.169642857,1.678571429,0.6875,36
36001013507,940,638.5714286,2.952380952,1.80952381,1.714285714,0.714285714,36
36001013508,906.6058394,564.3065693,2.686131387,1.715328467,1.591240876,0.627737226,36
36001013601,915.5862069,589.4206897,2.655172414,2.013793103,1.64137931,0.668965517,36
36001013602,735.8846154,54.08461538,1.838461538,0.946153846,0.807692308,0.030769231,36
36001013703,926.9285714,312.2,2.328571429,1.314285714,1.314285714,0.328571429,36
36001013705,931.4485981,642.7943925,2.710280374,1.710280374,1.710280374,0.719626168,36
36001013706,941.5789474,771.9736842,2.921052632,1.894736842,1.894736842,0.894736842,36
36001013707,930.9042553,764.0851064,2.882978723,1.893617021,1.861702128,0.872340426,36
36001013801,933.7328767,810.3356164,2.945205479,1.910958904,1.910958904,0.917808219,36
36001013802,940,776.2280702,2.877192982,1.877192982,1.877192982,0.877192982,36
36001013901,921.3265306,603.4489796,2.693877551,1.653061224,1.653061224,0.673469388,36
36001013902,940.8823529,720.2205882,2.838235294,1.823529412,1.823529412,0.823529412,36
36001014001,928.7037037,660.5432099,2.777777778,1.728395062,1.728395062,0.740740741,36
36001014002,940,831.7142857,2.985714286,1.942857143,1.942857143,0.942857143,36
36001014100,940,544.9137931,2.646551724,1.637931034,1.603448276,0.603448276,36
36001014201,931.6055046,678.1559633,2.834862385,1.972477064,1.752293578,0.76146789,36
36001014202,940.5769231,759.2788462,3.019230769,1.942307692,1.865384615,0.865384615,36
36001014203,940,775.1459854,2.927007299,1.868613139,1.868613139,0.875912409,36
36001014301,900.2173913,518.6086957,3.243478261,1.695652174,1.556521739,0.573913043,36
36001014302,927.9111111,549.1022222,3.053333333,2.013333333,1.604444444,0.608888889,36
36001014401,408.747619,54.38095238,2.347619048,1.161904762,1.038095238,0.028571429,36
36001014402,259.7972973,58.75675676,3.081081081,1.959459459,1.77027027,0,36
36001014501,899.2857143,97.18045113,1.834586466,1.127819549,1.030075188,0.07518797,36
36001014502,924.2241379,199.5804598,2.028735632,1.459770115,1.17816092,0.195402299,36
36001014503,940,46.90140845,2.366197183,1.014084507,1.014084507,0.014084507,36
36001014606,928.4459459,778.4324324,2.527027027,2.189189189,1.878378378,0.891891892,36
36001014607,911.5838509,574.6273292,2.223602484,1.639751553,1.608695652,0.639751553,36
36001014608,940,531.2698413,2.666666667,1.587301587,1.587301587,0.587301587,36
36001014609,940,640.3731343,2.731343284,1.71641791,1.71641791,0.71641791,36
36001014611,857.8846154,443.8846154,2.217948718,1.461538462,1.397435897,0.487179487,36
36001014612,940,119.5,2.166666667,1.166666667,1.1,0.1,36
36001014613,933.6013986,389.3286713,2.041958042,1.636363636,1.412587413,0.41958042,36
36001014614,915.9210526,701.2894737,2.618421053,1.763157895,1.763157895,0.789473684,36
36001014615,814.5833333,573.8888889,2.25,1.5,1.5,0.666666667,36
36001014700,940,35,1.676767677,1.237373737,1,0,36
36001014801,803.739726,40.24657534,1.589041096,1.114155251,0.97260274,0.068493151,36
36001014802,248.1693548,35.09677419,1.540322581,0.887096774,0.879032258,0.169354839,36
36001014803,256.5328467,32.05109489,1.671532847,0.934306569,0.927007299,0,36
36003940200,940,35,1,1,1,0,36
36003950100,689.7540107,46.74079144,1.401069519,0.796791444,0.748663102,0.021390374,36
36003950300,458.7980769,23.10761538,2.158653846,0.6875,0.461538462,0.004807692,36
36003950400,361.1179487,17.10834872,0.964102564,0.374358974,0.374358974,0,36
36003950500,764.0405983,28.55011966,1.158119658,0.811965812,0.811965812,0,36
36003950600,767.3436123,32.91851982,1.268722467,0.81938326,0.81938326,0.004405286,36
36003950700,856.1235632,37.47696552,1.367816092,0.91954023,0.913793103,0.005747126,36
36003950800,768.2979798,125.9657374,1.97979798,1,0.868686869,0.101010101,36
36003950900,687.3326923,186.6061846,1.869230769,0.903846154,0.75,0.180769231,36
36003951000,722.3136095,77.37723077,1.053254438,0.804733728,0.75739645,0.094674556,36
36003951100,850.4920213,31.72821277,1.058510638,0.904255319,0.904255319,0,36
36003951200,846.2408027,31.57078261,1.096989967,0.899665552,0.899665552,0,36
36003951300,477.1372951,18.73891803,1.307377049,0.569672131,0.487704918,0,36
36005000100,1000,20,2,2,2,0,36
36005000200,897.173913,835.2391304,1.804347826,1.760869565,1.652173913,0.934782609,36
36005000400,948.5714286,906.0714286,2.107142857,1.75,1.714285714,0.964285714,36
36005001600,1497.647059,1465.882353,2.470588235,2,1.823529412,1.117647059,36
36005001900,1784.413043,1719.036638,1.869565217,1.47826087,1.260869565,0.797101449,36
36005002000,2005.882353,1967.647059,2.411764706,2,2,1.058823529,36
36005002300,872,774,2.7,1.8,1.7,0.8,36
36005002400,10,1,1,0,0,0,36
36005002500,1000,1000,2.875,1.875,1.875,0.875,36
36005002701,2764,2728,2.8,2.2,2.2,1.2,36
36005002702,1705.909091,1683.706182,2.545454545,1.818181818,1.818181818,1,36
36005002800,2052.5,2030,3.125,2.625,1.8125,1.0625,36
36005003100,1700.454545,1672.797091,3.181818182,2.363636364,1.818181818,1,36
36005003300,2366.153846,2347.692308,3.538461538,2.538461538,1.846153846,0.923076923,36
36005003500,891.5384615,858.5384615,3.384615385,2.461538462,1.692307692,0.923076923,36
